Titles,Keywords,Abstract
"Smart and Sustainable Bioeconomy Platform: A New Approach towards 
Sustainability ","bioeconomy, digitalization, platform-based bioeconomy, smart and sustainable 
development, governance","The smart and sustainable bioeconomy represents a 
comprehensive perspective, in which economic, social, environmental, and technological dimensions are considered simultaneously in the planning, monitoring, evaluating, and redefining of processes and operations. In this context of profound transformation driven by rapid urbanization and digitalization, participatory and interactive strategies and practices have become fundamental to support policymakers, entrepreneurs, and citizens in the transition towards a smart and sustainable bioeconomy. This approach is applied by numerous countries around the world in order to redefine their strategy of sustainable and technology-assisted development. Specifically, real-time monitoring stations, sensors, Internet of Things (IoT), smart grids, GPS tracking systems, and Blockchain aim to develop and strengthen the quality and efficiency of the circularity of economic, social, and environmental resources. In this sense, this study proposes a systematic review of the literature of smart and sustainable bioeconomy strategies and practices implemented worldwide in order to develop a platform capable of integrating holistically the following phases: (1) planning and stakeholder management; (2) identification of social, economic, environmental, and technological dimensions; and (3) goals. The results of this analysis emphasise an innovative and under-treated perspective, further stimulating knowledge in the theoretical and managerial debate on the smart and sustainable aspects of the bioeconomy, which mainly concern the following: (a) the proactive involvement of stakeholders in planning; (b) the improvement of efficiency and quality of economic, social, environmental, and technological flows; and (c) the reinforcement of the integration between smartness and sustainability."
"China’s Socioeconomic and CO2 Status Concerning Future Land-Use 
Change under the Shared Socioeconomic Pathways ","land-use change, population, GDP, carbon emission, SSP scenario, China","China has experienced a huge socioeconomic advancement over 
the past few decades, resulting in great change in land use and land cover. To date, negligible attention has been given to examining the socioeconomic changes in the context of land-use change, especially from a futuristic standpoint. However, motivated by China’s latest carbon neutrality target, this study analyzes the prospective changes in socioeconomic status, and carbon dioxide emission in the context of future land-use change, focusing on three future periods: 2026–2030 (carbon dioxide peak phase), 2056–2060 (carbon-neutral phase), and 2080–2099 (long-term period). In this regard, recently published land-use products under seven Shared Socioeconomic Pathways-based scenarios (SSP1-1.9, SSP1-2.6, SSP4-3.4, SSP2-4.5, SSP4-6.0, SSP3-7.0, and SSP5-8.5) as part of the CMIP6, as well as the projected GDP and population under five socioeconomic scenarios are used. To estimate socioeconomic change over prominent land-use types (urban), we combined five socioeconomic scenarios with seven corresponding SSPs-based land-use change scenarios (SSP1 with SSP1-1.9 and SSP1-2.6; SSP2 with SSP2-4.5; SSP3 with SSP3-7.0; SSP4 with SSP4-3.4 and SSP4-6.0; and SSP5 with SSP5-8.5 scenarios). Our results reveal that rapid urban land expansion in the future is the most dominant aspect in China. In the carbon neutrality phase (2056–2060), urban land is expected to expand ~80% more than that of the reference period (1995–2014). In the spatial aspect, the expansion of urban land is mainly prominent in the eastern and central parts of China. For socioeconomic changes, the most prominent increase in the urban population is estimated at 630.8% under SSP5-8.5 for the 2056–2060 period compared to the reference period. Regarding GDP for the urban area, industrial GDP will be higher than service GDP in the carbon emission peak phase (2026–2030), but it is projected to be overtaken by service GDP for the carbon-neutral target (2056–2060) and long-term periods (2080–2099). Further, the CO2 emission in China was found to increase with intensified urban land for the historical period (1995–2019). In the future, the largest increase in CO2 emission from the urban area is anticipated under SSP5-8.5 in the carbon-neutral target (2056–2060) phase, while CO2 emission will largely decline after (2056–2060) under SSP1-1.9, SSP1-2.6, and SSP4-3.4. Importantly, population change is expected to be the most predominant factor in future urban land expansion in China. These findings highlight the importance of well-governed urban-land development as a key measure to achieve China’s carbon neutrality goal."
"Framework Proposal to Quantify the Contribution of Non-Wood 
Forest Products to the European Union Forest-Based Bioeconomy ","social accounting matrix, environmental accounting, supply chains, forest sector, non-wood forest products","Forest ecosystems provide numerous services that contribute 
to the wellbeing of societies. However, the lack of knowledge about the benefits of non-wood forest ecosystem services, such as non-wood forest products (NWFPs), hinders efficient forest policy decision-making processes. This study proposes a new extension of the Social Accounting Matrices (SAMs) to capture both the private and the social component of NWFPs. By means of a literature review, we show how extended SAMs can be a suitable approach to explain the causal relationship between the supply of forest ecosystem services, forest-based value chains, and the European bioeconomy. The literature analysis shows that the number of research studies calibrating or using SAMs has been increasing over the last decades. Recent extensions of the SAMs made it possible to evaluate the relationship between human wellbeing and the environment. Moreover, we found applications to the forest sector (limited to timber) and to the supply of some non-wood ecosystem services. We believe the extended SAMs will support decision-makers to design forest strategies that properly account for the benefits NWFPs provide to both the economy and the society."
"Application of biological systems and processes employing microbes and algae to Reduce, Recycle, Reuse (3Rs) for the sustainability of circular bioeconomy","bioeconomy, microorganisms, algae, recycling, reuse, reduce, 
value-added products, metabolites, enzymes, bioeconomy, sustainability","The circular bioeconomy has undoubtedly gained global 
momentum during the last few years. The bioeconomy envisions “3R”, the goal of 3R (Reduce, Recycle, Reuse) is to implement in circular economy preventing excessive and unnecessary wastes. The circular bioeconomy emphasizes the best use of all sorts of available bioresources through the reduction of generated wastes during product formation, recycling of generated wastes, and reuse of valuable by-products and residues. Biotechnology could be useful in utilizing the resources to the optimum and therefore the role of biological agents and bioprocesses is of prime importance. In this review, we highlight the paramount importance of beneficial strains of microorganisms, macro, and microalgae in the bioeconomy. Microorganisms are universally recognized for the notable production of a vast array of secondary metabolites and other functionalities with possible use in various sectors. The application of potential strains in industries and modern agriculture practices could progressively improve the effective yield of food and feed, including fertilization of arid soils, bioconversion of by-products from industrial processes, and agriculture wastes. The valuable properties of specifically selected biological agents typically make them suitable candidates for their efficient contribution to circular bioeconomy without hampering the environment."
"Paradigm shift in xylose isomerase usage: a novel scenario with 
distinct applications ","Xylose isomerase, xylose, lignocellulosic biomass, isomerase, 
biorefinery, enzyme, biotechnology","Isomerases are enzymes that induce physical changes in a 
molecule without affecting the original molecular formula. Among this class of enzymes, xylose isomerases (XIs) are the most studied to date, partly due to their extensive application in industrial processes to produce high-fructose corn sirups. In recent years, the need for sustainable initiatives has triggered efforts to improve the biobased economy through the use of renewable raw materials. In this context, D-xylose usage is crucial as it is the second-most abundant sugar in nature. The application of XIs in biotransforming xylose, enabling downstream metabolism in several microorganisms, is a smart strategy for ensuring a low-carbon footprint and producing several value-added biochemicals with broad industrial applications such as in the food, cosmetics, pharmaceutical, and polymer industries. Considering recent advancements that have expanded the range of applications of XIs, this review provides a comprehensive and concise overview of XIs, from their primary sources to the biochemical and structural features that influence their mechanisms of action. This comprehensive review may help address the challenges involved in XI applications in different industries and facilitate the exploitation of xylose bioprocesses."
Using fuzzy cognitive maps to identify better policy strategies to valorize organic waste flows: An Italian case study,"Italy, Circular bioeconomy, Organic fraction of municipal solid waste (OFMSW), 
Policy scenarios, Policy mixes","In Europe, there is a vast amount of municipal waste available. The organic fraction of municipal solid waste (OFMSW) represents a particularly valuable 
part of this waste, due to its potential to be employed to produce a range of value-added products. While several studies have addressed the utilization of the OFMSW in the Italian context, an overall picture of how the circular bioeconomy (CBE) model is being implemented in Italy is lacking. Accordingly, the present study investigated the status quo of the Italian bioeconomy sector, focusing on the use of the OFMSW as feedstock. The research aimed at increasing our understanding of barriers to the effective adoption of the CBE and identifying effective policy strategies. Specifically, a fuzzy cognitive mapping technique using an artificial neural network model was used to assess the impact of both single policy measures and policy mixes on a sample of selected outcomes, including human health, the environment, profitability and biorefinery approach. The results clearly showed that excessive bureaucracy, linear logic and technology-based solutions ignoring the complex characteristics of waste planning activities were the most important variables influencing the implementation of the CBE in Italy. Moreover, the results suggested that a policy mix combining economic and financial support policies for sustainable activities alongside improvements to waste collection systems could generate the highest positive effect on all considered outcomes."
"The knowledge based agricultural bioeconomy: 
A bibliometric network analysis ","bioeconomy, agriculture, bibliometric analysis, VOS viewer","The last ten years have witnessed an increase in publications 
focusing on bioeconomy as a proposal to confront the global challenges of climate change, depletion of non-renewable resources and ecosystem degradation. This paper investigates the scientific literature on issues related agricultural bioeconomy by applying a bibliometric network analysis. Bibliometric analysis is applied to the publications of the Scopus database during the period 2010–2020 in order to provide an overview of the main aspects that characterize agricultural bioeconomy. The results showed that out of a total of 1100 scientific papers, only 2.45% were published in 2010, while the corresponding share in 2020 was 20.81%. In the five years of 2016–2020, cumulatively, 70.63% of the publications were made, showing the dynamic evolution of bioeconomy. In addition, out of 85 countries in total, Germany and Italy are the two countries with most publications, while the fragmentation of research is evident with the creation of two main nodes, the European and the American. Moreover, keyword analysis showed that biomass and sustainability are two main recurring concepts, confirming that, currently, bioeconomy operates at three different levels: energy demand, land demand, and governance. It is apparent that to boost the development of agricultural bioeconomy, the following aspects should be assessed: the effective use of resources, an understanding of the key drivers of agricultural bioeconomy, and a clear perception of their associations. There is still no consensus as to which are the key factors that will accelerate its sustainable development. Our pursuit is to use the tools of bibliometric analysis to reach more critical conclusions regarding the agricultural bioeconomy, rather than approach it in a static way."
Consumer willingness to pay for bio-based products: Do certifications matter? ,"Artefactual field experiment, Bio-based products, Circular bioeconomy, Sustainability certification, Willingness to pay","European Commission aims to promote a more efficient and 
harmonized policy regulation framework for the market-pull of bio-based products. We conduct an artefactual field experiment in Italy, that demonstrates the existence of a “green premium”, which refers to increased consumer willingness to pay (WTP) for bio-based over conventional products, and a “certified green premium”, which refers to an additional increase in consumer WTP for certified bio-based products over and above other bio-based products. This experiment measures consumer preference through an incentive compatible procedure using 1080 observations. Moreover, we show that, across different product typologies (i.e. hand soap, food bags, colored pens), demand for conventional products is generally more elastic than demand for bio-based and certified bio-based products. Our evidence underlines that certification may play a key role in purchase decision making, especially for products in the food and nutrition and personal care categories. The diffusion of certified bio-based products may therefore prove effective for overcoming economic challenges related to the implementation of the circular bioeconomy. Social involvement is necessary to make certification an informative tool for consumers to encourage them to make green purchases. In fact, bio-based products combined with proper management at the end of their life cycle represent the concept of a circular bioeconomy. Certification therefore becomes the visible output to consumers of the actual sustainability of these products. Furthermore, the higher demand elasticity of conventional products suggests that even moderate price increases may have a significant impact on consumer preference for more sustainable products."
"Integrating the green economy, circular economy 
and bioeconomy in a strategic sustainability framework ","Ecosystem services, Low carbon economy, Nature-positive economy, Sharing economy, Sustainability transitions, System thinking","The green economy, circular economy and bioeconomy are popular narratives in macro-level sustainability discussions in policy, scientific research and business. These three narratives offer three different recipes to address economic, social and ecological goals, thus promoting different pathways for sustainability transformations. 
We employ the well-known Framework for Strategic Sustainable Development (The Natural Step Framework) to comparatively identify the relative and integrated contribution of the three narratives for global net sustainability. We conclude that none of the three narratives, individually, offer a comprehensive ‘package’ of solutions. However, when considered jointly as collaborative narratives, they point towards a society and economy based on renewable/reproductive and biodiversity-based/benign processes, delivering material and immaterial benefits that fulfil the economic and social requirements of all people now and in the future. While the complementary understanding of the circular economy, bioeconomy and green economy provides important guidelines for sustainability transformations post-Covid-19, there is a need for more holistic, systems-wide and integrative research work on potentially competing or supplementary sustainability narratives. This type of work of clarification and synthesis is relevant to a wide range of scholars and professionals, since the conceptual understanding of sustainability narratives informs practical implementation through strategies, actions and monitoring tools, in public and private decision-making."
A PCE-based Connectivity Provisioning Management Framework,"Connectivity Provisioning, Path Computation Element, Distributed systems","Renewable energies, sustainable practices and car-
bon neutrality have become important goals for countries. Solar
panels are a good alternative to produce energy. Monitoring,
maintenance and fault detection processes represent aspects of
vital importance when making concrete decisions that affects a
certain percentage of the solar farms. In this paper we present a
system capable of detecting solar panels location through machine
learning.
The main goal is to aid solar panels farm managers to locate
solar panels in real time in a real area by using a machine
learning model. With the use of a camera and a drone, we will
be able to fly over the solar farm and identify the panels. The
YOLO (You Only Look Once) object detection model is used,
training and testing the neural network with a data-set of 280
images. The neural network was capable of recognize the panels
in different images and videos in which we put it to the test but
getting a good precision at the end.
"
"A PCE-based Connectivity Provisioning Management Framework
A Deep Transfer Learning Approach to Fine-Tuning
Facial Recognition Models
","convolutional neural networks, facial recognition,
transfer learning, FERET image dataset
","The challenge of developing facial recognition
systems has been the focus of many research efforts in recent years
and has numerous applications in areas such as security,
entertainment, and biometrics. Recently, most progress in this field
has come from training very deep neural networks on massive
datasets which is computationally intensive and time consuming.
Here, we propose a deep transfer learning (DTL) approach that
integrates transfer learning techniques and convolutional neural
networks and apply it to the problem of facial recognition to fine-
tune facial recognition models. Transfer learning can allow for the
training of robust, high-performance machine learning models that
require much less time and resources to produce than similarly
performing models that have been trained from scratch. Using a pre-
trained face recognition model, we were able to perform transfer
learning to produce a network that is capable of making accurate
predictions on much smaller datasets. We also compare our results
with results produced by a selection of classical algorithms on the
same datasets to demonstrate the effectiveness of the proposed DTL
approach.
"
A multi-task learning approach for meal assessment,"Conventional, diet-related, nutrient, segmentation, achieved, outstanding","Key role in the prevention of diet-related chronic diseases plays the balanced nutrition together 
with a proper diet. The conventional dietary assessment methods are time-consuming, expensive and prone to errors. New technology-based methods that provide reliable and convenient dietary assessment, have emerged during the last decade. The advances in the field of computer vision permitted the use of meal image to assess the nutrient content usually through three steps: food segmentation, recognition and volume estimation. In this paper, we propose a use one RGB meal image as input to a multi-task learning based Convolutional Neural Network (CNN). The proposed approach achieved outstanding performance, while a comparison with state-of-the-art methods indicated that the proposed approach exhibits clear advantage in accuracy, along with a massive reduction of processing time."
Deep probabilistic human pose estimation,"Deterministic, equiprobable hypotheses, probabilistic convolutional, probabilistic models","The authors consider the problem of human pose estimation using probabilistic convolutional 
neural networks. They explore ways to improve human pose estimation accuracy on standard pose estimation benchmarks MPII human pose and Leeds Sports Pose (LSP) datasets using frameworks for probabilistic deep learning. Such frameworks transform deterministic neural network into a probabilistic one and allow sampling of independent and equiprobable hypotheses (different outputs) for a given input. Overlapping body parts and body joints hidden under clothes or other obstacles make the problem of human pose estimation ambiguous. In this context to get accurate estimation of joints’ position they use uncertainty in network's predictions, which is represented by variance of hypotheses, provided by a probabilistic convolutional neural network, and confidence is characterised by mean of them. Their work is based on current CNN cascades for pose estimation. They propose and evaluate three probabilistic convolutional neural networks built on top of deterministic ones with two probabilistic deep learning frameworks – DISCO networks and Bayesian SegNet. The authors evaluate their models on standard pose estimation benchmarks and show that proposed probabilistic models outperform base deterministic ones."
Deep Region of Interest and Feature Extraction Models for Palmprint Verification Using Convolutional Neural Networks Transfer Learning,"region of interest extraction, palm print verification, deep learning, convolutional neural network, transfer learning, feature extraction","Palmprint verification is one of the most significant and popular approaches for personal 
authentication due to its high accuracy and efficiency. Using deep region of interest (ROI) and feature extraction models for palmprint verification, a novel approach is proposed where convolutional neural networks (CNNs) along with transfer learning are exploited. The extracted palmprint ROIs are fed to the final verification system, which is composed of two modules. These modules are (i) a pre-trained CNN architecture as a feature extractor and (ii) a machine learning classifier. In order to evaluate our proposed model, we computed the intersection over union (IoU) metric for ROI extraction along with accuracy, receiver operating characteristic (ROC) curves, and equal error rate (EER) for the verification task.The experiments demonstrated that the ROI extraction module could significantly find the appropriate palmprint ROIs, and the verification results were crucially precise. This was verified by different databases and classification methods employed in our proposed model. In comparison with other existing approaches, our model was competitive with the state-of-the-art approaches that rely on the representation of hand-crafted descriptors. We achieved a IoU score of 93% and EER of 0.0125 using a support vector machine (SVM) classifier for the contact-based Hong Kong Polytechnic University Palmprint (HKPU) database. It is notable that all codes are open-source and can be accessed online."
Comparisons of Deep Learning Algorithms for MNIST in Real-Time Environment,"Capsule networks, Dynamic routing, Residual learning, CNN, Logistic regression","Recognizing handwritten digits was challenging task in a couple of years ago. 
Thanks to machine learning algorithms, today, the issue has solved but those algorithms require much time to train and to recognize digits. Thus, using one of those algorithms to an application that works in real-time, is complex. Notwithstanding use of a trained model, if the model uses deep neural networks it requires much more time to make a prediction and becomes more complicated as well as memory usage also increases. It leads real-time application to delay and to work slowly even using trained model. A memory usage is also essential as using smaller memory of trained models works considerable faster comparing to models with huge pre-processed memory. For this work, we implemented four models on the basis of unlike algorithms which are capsule network, deep residual learning model, convolutional neural network and multinomial logistic regression to recognize handwritten digits. These models have unlike structure and they have showed a great results on MNIST before so we aim to compare them in real-time environment. The dataset MNIST seems most suitable for this work since it is popular in the field and basically used in many state-of-the-art algorithms beyond those models mentioned above. We purpose revealing most suitable algorithm to recognize handwritten digits in real-time environment. Also, we give comparisons of train and evaluation time, memory usage and other essential indexes of all four models."
Convolutional Regression for Visual Tracking,"discriminatively learned, ridge regression model, algorithm achieves, outperforms most","Recently, discriminatively learned correlation filters (DCF) has attracted much attention in visual 
object tracking community. The success of DCF is potentially attributed to the fact that a large number of samples are utilized to train the ridge regression model and predict the location of an object. To solve the regression problem in an efficient way, these samples are all generated by circularly shifting from a searching patch. However, these synthetic samples also induce some negative effects that weaken the robustness of DCF-based trackers. In this paper, we propose a new approach to learn the regression model for visual tracking with single convolutional layer. Instead of learning the linear regression model in a closed form, we try to solve the regression problem by optimizing a one-channel-output convolution layer with gradient descent (GD). In particular, the kernel size of the convolution layer is set to the size of the object. Contrary to DCF, it is possible to incorporate all “real” samples clipped from the whole image. A critical issue of the GD approach is that most of the convolutional samples are negative and the contribution of positive samples will be suppressed. To address this problem, we propose a novel objective function to eliminate easy negatives and enhance positives. We perform extensive experiments on four widely used datasets: OTB-100, OTB-50, TempleColor, and VOT-2016. The results show that the proposed algorithm achieves outstanding performance and outperforms most of the existing DCF-based algorithms."
"Searching Action Proposal via Recurrent
and Static Regression Networks
","each action, low-level, short-term cues, sequentially","In this paper, we propose YoTube—a novel
deep learning framework for generating action proposals in
untrimmed videos, where each action proposal corresponds to a
spatial-temporal tube that potentially locates one human action.
Most of the existing works generate proposals by clustering
low-level features or linking image proposals, which ignore the
interplay between long-term temporal context and short-term
cues. Different from these works, our method considers the
interplay by designing a new recurrent YoTube detector and static
YoTube detector. The recurrent YoTube detector sequentially
regresses candidate bounding boxes using RNN learned long-
term temporal contexts. The static YoTube detector produces
bounding boxes using rich appearance cues in every single frame.
To fully exploit the complementary appearance, motion, and
temporal context, we train the recurrent and static detector using
RGB and Flow information. Moreover, we fuse the corresponding
outputs of the detectors to produce accurate and robust proposal
boxes and obtain the final action proposals by linking the
proposal boxes using dynamic programming with a novel path
trimming method. Benefiting from the pipeline of our method,
the untrimmed video could be effectively and efficiently handled.
Extensive experiments on the challenging UCF-101, UCF-Sports,
JHMDB datasets show superior performance of the proposed
method compared with the state of the arts
"
Efficient Similar Region Search with Deep Metric Learning,"geographical regions, location-based services, problem of searching, efficient branch","With the proliferation of mobile devices and location-based services, rich geo-tagged data is 
becoming prevalent and this offer great opportunities to understand different geographical regions (e.g., shopping areas). However, the huge number of regions with complicated spatial information are expensive for people to explore and understand. To solve this issue, we study the problem of searching similar regions given a user specified query region. The problem is challenging in both similarity definition and search efficiency. To tackle the two challenges, we propose a novel solution equipped by (1) a deep learning approach to learning the similarity that considers both object attributes and the relative locations between objects; and (2) an efficient branch and bound search algorithm for finding top-N similar regions. Moreover, we propose an approximation method to further improve the efficiency by slightly sacrificing the accuracy. Our experiments on three real world datasets demonstrate that our solution improves both the accuracy and search efficiency by a significant margin compared with the state-of-the-art methods."
Detection of Cattle Using Drones and Convolutional Neural Networks,"cattle detection, convolutional neural network, multirotor, drone, Unmanned Aerial Vehicle","Multirotor drones have been one of the most important technological advances of the last decade. 
Their mechanics are simple compared to other types of drones and their possibilities in flight are greater. For example, they can take-off vertically. Their capabilities have therefore brought progress to many professional activities. Moreover, advances in computing and telecommunications have also broadened the range of activities in which drones may be used. Currently, artificial intelligence and information analysis are the main areas of research in the field of computing. The case study presented in this article employed artificial intelligence techniques in the analysis of information captured by drones. More specifically, the camera installed in the drone took images which were later analyzed using Convolutional Neural Networks (CNNs) to identify the objects captured in the images. In this research, a CNN was trained to detect cattle, however the same training process could be followed to develop a CNN for the detection of any other object. This article describes the design of the platform for real-time analysis of information and its performance in the detection of cattle"
Bidirectional Long Short-Term Memory Network for Vehicle Behavior Recognition,"unmanned aerial vehicles (UAVs), deep neural networks, vehicle detection, vehicle tracking, behavior recognition, long short-term memory","Vehicle behavior recognition is an attractive research field which is useful for many computer 
vision and intelligent traffic analysis tasks. This paper presents an all-in-one behavior recognition framework for moving vehicles based on the latest deep learning techniques. Unlike traditional traffic analysis methods which rely on low-resolution videos captured by road cameras, we capture 4K ( 3840×2178 ) traffic videos at a busy road intersection of a modern megacity by flying a unmanned aerial vehicle (UAV) during the rush hours. We then manually annotate locations and types of road vehicles. The proposed method consists of the following three steps: (1) vehicle detection and type recognition based on deep neural networks; (2) vehicle tracking by data association and vehicle trajectory modeling; (3) vehicle behavior recognition by nearest neighbor search and by bidirectional long short-term memory network, respectively. This paper also presents experimental results of the proposed framework in comparison with state-of-the-art approaches on the 4K testing traffic video, which demonstrated the effectiveness and superiority of the proposed method."
FeatureNet: Machining feature recognition based on 3D Convolution Neural Network,"Machining feature recognition, Convolution neural network, Deep learning, Computer aided process planning (CAPP)","Automated machining feature recognition, a sub-discipline of solid modeling, has been an active 
research area for last three decades and is a critical component in digital manufacturing thread for detecting manufacturing information from computer aided design (CAD) models. In this paper, a novel framework using Deep 3D Convolutional Neural Networks (3D-CNNs) termed FeatureNet to learn machining features from CAD models of mechanical parts is presented. FeatureNet learns the distribution of complex manufacturing feature shapes across a large 3D model dataset and discovers distinguishing features that help in recognition process automatically. To train FeatureNet, a large-scale mechanical part datasets of 3D CAD models with labeled machining features is automatically constructed. The proposed framework can recognize manufacturing features from the low-level geometric data such as voxels with a very high accuracy. The developed framework can also recognize planar intersecting features in the 3D CAD models. Extensive numerical experiments show that FeatureNet enables significant improvements over the state-of-the-arts manufacturing feature detection techniques. The developed data-driven framework can easily be extended to identify a large variety of machining features leading to a sound foundation for real-time computer aided process planning (CAPP) systems."
"A fully integrated computer-aided diagnosis system for digital X-ray mammograms via deep learning detection, segmentation, and classification","Computer-aided diagnosis (CAD), Deep learning, Full resolution convolutional network (FrCN), Mass detection, Mass segmentation, You-only-look-once (YOLO).","A computer-aided diagnosis (CAD) system requires detection, segmentation, and classification in one 
framework to assist radiologists efficiently in an accurate diagnosis. In this paper, a completely integrated CAD system is proposed to screen digital X-ray mammograms involving detection, segmentation, and classification of breast masses via deep learning methodologies. In this work, to detect breast mass from entire mammograms, You-Only-Look-Once (YOLO), a regional deep learning approach, is used. To segment the mass, full resolution convolutional network (FrCN), a new deep network model, is proposed and utilized. Finally, a deep convolutional neural network (CNN) is used to recognize the mass and classify it as either benign or malignant. To evaluate the proposed integrated CAD system in terms of the accuracies of detection, segmentation, and classification, the publicly available and annotated INbreast database was utilized. The evaluation results of the proposed CAD system via four-fold cross-validation tests show that a mass detection accuracy of 98.96%, Matthews correlation coefficient (MCC) of 97.62%, and F1-score of 99.24% are achieved with the INbreast dataset. Moreover, the mass segmentation results via FrCN produced an overall accuracy of 92.97%, MCC of 85.93%, and Dice (F1-score) of 92.69% and Jaccard similarity coefficient metrics of 86.37%, respectively. The detected and segmented masses were classified via CNN and achieved an overall accuracy of 95.64%, AUC of 94.78%, MCC of 89.91%, and F1-score of 96.84%, respectively. Our results demonstrate that the proposed CAD system, through all stages of detection, segmentation, and classification, outperforms the latest conventional deep learning methodologies. Our proposed CAD system could be used to assist radiologists in all stages of detection, segmentation, and classification of breast masses."
Integrated real-time object detection for self-driving vehicles,"Bounding, network, optimized gripping, YOLO","In this paper, an integrated real-time approach for detecting objects in the captured images of self-driving 
vehicles has been proposed. For this purpose, we model the object detection as a regression problem on the predicted bounding boxes and their class probabilities. Unlike the previous works, no sliding window or region proposal has been used for predicting objects' bounding boxes. Instead, unified neural network has been performed on the whole image which could predicts the bounding boxes and class probabilities at the same time. Our approach performs at 38 frames per second (fps) while achieving the mAP of 68.2% on KITTI vehicle dataset, which is 41.1% more than 30Hz DPM and 6.4% more than Faster R-CNN. Our approach is about 7 fps slower than YOLO. However, since it has an optimized gripping process, it has less localization error than YOLO, and a performance boost about 5.4% in mAP has been achieved."
Robust license plate detection in the wild,"state-of-the-art, bounding, frequently-encountered, state-of-the-art real-time, traffics ","License Plate Detection (LPD) is the pivotal step for License Plate Recognition. In this work, we explore 
and customize state-of-the-art detection approaches for exclusively handling the LPD in the wild. In-the-wild LPD considers license plates captured in challenging conditions caused by bad weathers, lighting, traffics, and other factors. As conventional methods failed to handle these inevitable conditions, we explore the latest deep learning based detectors, namely YOLO (You-Only-Look-Once) and its variant YOLO-9000 (referred here as YOLO-2), and customize them for effectively handling the LPD. The prime customizations include modification of the grid size and of the bounding box parameter estimation, and the composition of a more challenging AOLPE (Application-Oriented License Plate Extended) database for performance evaluation. The AOLPE database is an extended version of the AOLP database [1] with additional images taken under extreme but frequently-encountered conditions. As the original YOLO and YOLO-2 are not designed for the LPD, they failed to handle the LPD on the AOLPE without the customizations. This study can be one of the pioneering works that revise state-of-the-art real-time deep networks for handling the LPD. It also serves as a case study for those who wish to customize existing deep networks for detecting specific objects. In addition to a pioneering explorations of deep networks for handling the in-the-wild LPD, our contribution also includes the release of the AOLPE database and evaluation protocol for a novel benchmark for the LPD"
LightDenseYOLO: A Fast and Accurate Marker Tracker for Autonomous UAV Landing by Visible Light Camera Sensor on Drone,"unmanned aerial vehicle, autonomous landing, real-time marker detection, lightDenseYOLO, visible light camera sensor on drone","Autonomous landing of an unmanned aerial vehicle or a drone is a challenging problem for the robotics 
research community. Previous researchers have attempted to solve this problem by combining multiple sensors such as global positioning system (GPS) receivers, inertial measurement unit, and multiple camera systems. Although these approaches successfully estimate an unmanned aerial vehicle location during landing, many calibration processes are required to achieve good detection accuracy. In addition, cases where drones operate in heterogeneous areas with no GPS signal should be considered. To overcome these problems, we determined how to safely land a drone in a GPS-denied environment using our remote-marker-based tracking algorithm based on a single visible-light-camera sensor. Instead of using hand-crafted features, our algorithm includes a convolutional neural network named lightDenseYOLO to extract trained features from an input image to predict a marker’s location by visible light camera sensor on drone. Experimental results show that our method significantly outperforms state-of-the-art object trackers both using and not using convolutional neural network in terms of both accuracy and processing time"
"A Robotic Assistant using Speech Recognition to
Create Appointments and Provide Reminders","speech recognition, robot, arduino, event reminder, voice commands, digital assistant","Voice recognition services are very common nowa-
days. These services offer a lot of opportunities to shift the
challenges of input and output between both humans and
computers to a more communicative realm. An event reminder
system based on speech recognition with autonomous features
can help to create and catalogue appointments and events of
interest in a natural and efficient way.
The goal of this project is to aid users in creating digital
reminders through the use of robots based on speech recognition.
We propose a hardware-software architecture for a robot based
on an Arduino Uno and a smartphone running the Android
platform.
The first prototype of this small robot assitant is able to receive
voice commands and move forward, backward, to the right, and
to the left as well as move its head forward and backward. In
addition, it is capable of converting voice input into stored events
and then providing aural reminders according to the date and
time provided."
Development of the Integrated Construction Automation Methodology,"Expert System, Construction Process, Central Controller, Building System, Machine Design","Current research In construction automation Is focusing on automating Individual processes Instead 
of approaching the problem from a hierarchical systems viewpoint; thus many systems being studied treat the construction site as a “hostile” environment and Incorporate many sensors to extract Information from the building. As a result, sensor and signal processing technology can be a limiting factor In the design of machines to automate building processes. However, If Integration and automation of the construction process are approached from a systems view, then existing technology can be used to design economical machines to automate many construction processes, and to coordinate and Integrate their use within the construction environment. A new design methodology, the Integrated Construction Automation Methodology (ICAM), Is presented here to assist in achieving high levels of integration and automation using existing technology."
"Minimum-Time Control of Robotic Manipulators with
Geometric Path Constraints","gorithms, led manipulator, dynamic, moving a manipula, ngparametric functions","onventionally, robotcontrolalgorithms are dividedinto
two stages, namely, path or trajectory planning and path tracking (or
path control). Thisdivision has been adopted mainly asa means of
alleviatingdifficulties in dealingwithcomplex,coupled manipulator
dynamics. Trajectory planning usuallydetermines the timing of manipu-
latorpositionandvelocity without considering its dynamics.Conse-
quently, the simplicity obtained from the division comesat theexpense of
efficiency in utilizing robot’s capabilities.
To remove at least partially thisinefficiency,this paper considersa
solution to the problem of moving a manipulatorin minimum time along
a specified geometric path subject to input torque/force constraints.We
first describe the manipulator dynamics usingparametric functions which
represent geometric path constraints to be honored for collision avoid-
ance as well as task requirements. Second, constraints oninput torqued
forces are converted to those on the parameters. Third, the minimum-
timesolutionisdeducedinanalgorithmform using phase-plane
techniques. Finally, numerical examples arepresented to demonstrate
utility of the trajectory planning method developed"
